Sno,Date,State/UnionTerritory,Confirmed,Cured,Deaths
368,26-03-2020,Bihar,6,0,1
369,26-03-2020,Chandigarh,7,0,0
370,26-03-2020,Chhattisgarh,6,0,0
371,26-03-2020,Delhi,36,6,1
372,26-03-2020,Goa,3,0,0
373,26-03-2020,Gujarat,43,0,3
374,26-03-2020,Haryana,30,11,0
375,26-03-2020,Himachal Pradesh,3,0,1
376,26-03-2020,Jammu and Kashmir,13,1,0
377,26-03-2020,Karnataka,55,3,2
378,26-03-2020,Kerala,118,6,0
379,26-03-2020,Ladakh,13,0,0
380,26-03-2020,Madhya Pradesh,20,0,1
381,26-03-2020,Maharashtra,124,1,3
382,26-03-2020,Manipur,1,0,0
383,26-03-2020,Mizoram,1,0,0
384,26-03-2020,Odisha,2,0,0
385,26-03-2020,Puducherry,1,0,0
386,26-03-2020,Punjab,33,0,1
387,26-03-2020,Rajasthan,41,3,0
388,26-03-2020,Tamil Nadu,26,1,1
389,26-03-2020,Telengana,44,1,0
390,26-03-2020,Uttarakhand,5,0,0
391,26-03-2020,Uttar Pradesh,41,11,0
392,26-03-2020,West Bengal,10,0,1
393,27-03-2020,Andaman and Nicobar Islands,1,0,0
394,27-03-2020,Andhra Pradesh,12,1,0
395,27-03-2020,Bihar,6,0,1
396,27-03-2020,Chandigarh,7,0,0
397,27-03-2020,Chhattisgarh,6,0,0
398,27-03-2020,Delhi,36,6,1
399,27-03-2020,Goa,3,0,0
400,27-03-2020,Gujarat,43,0,3
401,27-03-2020,Haryana,30,11,0
402,27-03-2020,Himachal Pradesh,3,0,1
403,27-03-2020,Jammu and Kashmir,13,1,1
404,27-03-2020,Karnataka,55,3,2
405,27-03-2020,Kerala,137,11,0
406,27-03-2020,Ladakh,13,3,0
407,27-03-2020,Madhya Pradesh,20,0,1
408,27-03-2020,Maharashtra,130,15,4
409,27-03-2020,Manipur,1,0,0
410,27-03-2020,Mizoram,1,0,0
411,27-03-2020,Odisha,2,0,0
412,27-03-2020,Puducherry,1,0,0
413,27-03-2020,Punjab,33,0,1
414,27-03-2020,Rajasthan,41,3,0
415,27-03-2020,Tamil Nadu,29,1,1
416,27-03-2020,Telengana,45,1,0
417,27-03-2020,Uttarakhand,5,0,0
418,27-03-2020,Uttar Pradesh,41,11,0
419,27-03-2020,West Bengal,10,0,1
420,28-03-2020,Andhra Pradesh,14,1,0
421,28-03-2020,Andaman and Nicobar Islands,6,0,0
422,28-03-2020,Bihar,9,0,1
423,28-03-2020,Chandigarh,8,0,0
424,28-03-2020,Chhattisgarh,6,0,0
425,28-03-2020,Delhi,39,6,1
426,28-03-2020,Goa,3,0,0
427,28-03-2020,Gujarat,45,0,3
428,28-03-2020,Haryana,33,12,0
429,28-03-2020,Himachal Pradesh,3,0,1
430,28-03-2020,Jammu and Kashmir,20,1,1
431,28-03-2020,Karnataka,55,3,2
432,28-03-2020,Kerala,176,11,0
433,28-03-2020,Ladakh,13,3,0
434,28-03-2020,Madhya Pradesh,30,0,2
435,28-03-2020,Maharashtra,180,25,5
436,28-03-2020,Manipur,1,0,0
437,28-03-2020,Mizoram,1,0,0
438,28-03-2020,Odisha,3,0,0
439,28-03-2020,Puducherry,1,0,0
440,28-03-2020,Punjab,38,1,1
441,28-03-2020,Rajasthan,54,3,0
442,28-03-2020,Tamil Nadu,40,2,1
443,28-03-2020,Telengana,56,1,0
444,28-03-2020,Uttarakhand,5,0,0
445,28-03-2020,Uttar Pradesh,55,11,0
446,28-03-2020,West Bengal,15,0,1
447,29-03-2020,Andhra Pradesh,19,1,0
448,29-03-2020,Andaman and Nicobar Islands,9,0,0
449,29-03-2020,Bihar,11,0,1
450,29-03-2020,Chandigarh,8,0,0
451,29-03-2020,Chhattisgarh,7,0,0
452,29-03-2020,Delhi,49,6,2
453,29-03-2020,Goa,5,0,0
454,29-03-2020,Gujarat,58,1,5
455,29-03-2020,Haryana,33,17,0
456,29-03-2020,Himachal Pradesh,3,0,1
457,29-03-2020,Jammu and Kashmir,31,1,2
458,29-03-2020,Karnataka,76,5,3
459,29-03-2020,Kerala,182,15,1
460,29-03-2020,Ladakh,13,3,0
461,29-03-2020,Madhya Pradesh,30,0,2
462,29-03-2020,Maharashtra,186,25,6
463,29-03-2020,Manipur,1,0,0
464,29-03-2020,Mizoram,1,0,0
465,29-03-2020,Odisha,3,0,0
466,29-03-2020,Puducherry,1,0,0
467,29-03-2020,Punjab,38,1,1
468,29-03-2020,Rajasthan,55,3,0
469,29-03-2020,Tamil Nadu,49,4,1
470,29-03-2020,Telengana,66,1,1
471,29-03-2020,Uttarakhand,7,2,0
472,29-03-2020,Uttar Pradesh,65,11,0
473,29-03-2020,West Bengal,18,0,1
474,30-03-2020,Andhra Pradesh,23,1,0
475,30-03-2020,Andaman and Nicobar Islands,9,0,0
476,30-03-2020,Bihar,15,0,1
477,30-03-2020,Chandigarh,8,0,0
478,30-03-2020,Chhattisgarh,7,0,0
479,30-03-2020,Delhi,87,6,2
480,30-03-2020,Goa,5,0,0
481,30-03-2020,Gujarat,69,1,6
482,30-03-2020,Haryana,36,18,0
483,30-03-2020,Himachal Pradesh,3,0,1
484,30-03-2020,Jammu and Kashmir,48,2,2
485,30-03-2020,Karnataka,83,5,3
486,30-03-2020,Kerala,202,19,1
487,30-03-2020,Ladakh,13,3,0
488,30-03-2020,Madhya Pradesh,47,0,3
489,30-03-2020,Maharashtra,198,25,8
490,30-03-2020,Manipur,1,0,0
491,30-03-2020,Mizoram,1,0,0
492,30-03-2020,Odisha,3,0,0
493,30-03-2020,Puducherry,1,0,0
494,30-03-2020,Punjab,38,1,1
495,30-03-2020,Rajasthan,59,3,0
496,30-03-2020,Tamil Nadu,67,4,1
497,30-03-2020,Telengana,71,1,1
498,30-03-2020,Uttarakhand,7,2,0
499,30-03-2020,Uttar Pradesh,82,11,0
500,30-03-2020,West Bengal,22,0,1
501,30-03-2020,Unassigned,46,0,0
502,31-03-2020,Andhra Pradesh,40,1,0
503,31-03-2020,Andaman and Nicobar Islands,10,0,0
504,31-03-2020,Bihar,15,0,1
505,31-03-2020,Chandigarh,13,0,0
506,31-03-2020,Chhattisgarh,8,0,0
507,31-03-2020,Delhi,97,6,2
508,31-03-2020,Goa,5,0,0
509,31-03-2020,Gujarat,73,3,6
510,31-03-2020,Haryana,40,21,0
511,31-03-2020,Himachal Pradesh,3,0,1
512,31-03-2020,Jammu and Kashmir,54,2,2
513,31-03-2020,Karnataka,83,5,3
514,31-03-2020,Kerala,234,19,1
515,31-03-2020,Ladakh,13,3,0
516,31-03-2020,Madhya Pradesh,47,0,3
517,31-03-2020,Maharashtra,216,39,9
518,31-03-2020,Manipur,1,0,0
519,31-03-2020,Mizoram,1,0,0
520,31-03-2020,Odisha,3,0,0
521,31-03-2020,Puducherry,1,0,0
522,31-03-2020,Punjab,41,1,3
523,31-03-2020,Rajasthan,74,3,0
524,31-03-2020,Tamil Nadu,74,4,1
525,31-03-2020,Telengana,79,1,1
526,31-03-2020,Uttarakhand,7,2,0
527,31-03-2020,Uttar Pradesh,101,14,0
528,31-03-2020,West Bengal,26,0,2
529,31-03-2020,Unassigned,38,0,0
530,01-04-2020,Andhra Pradesh,83,1,0
531,01-04-2020,Andaman and Nicobar Islands,10,0,0
532,01-04-2020,Assam,1,0,0
533,01-04-2020,Bihar,23,0,1
534,01-04-2020,Chandigarh,16,0,0
535,01-04-2020,Chhattisgarh,9,2,0
536,01-04-2020,Delhi,152,6,2
537,01-04-2020,Goa,5,0,0
538,01-04-2020,Gujarat,82,5,6
539,01-04-2020,Haryana,43,21,0
540,01-04-2020,Himachal Pradesh,3,0,1
541,01-04-2020,Jammu and Kashmir,62,2,2
542,01-04-2020,Jharkhand,1,0,0
543,01-04-2020,Karnataka,101,8,3
544,01-04-2020,Kerala,241,23,2
545,01-04-2020,Ladakh,13,3,0
546,01-04-2020,Madhya Pradesh,66,0,3
547,01-04-2020,Maharashtra,302,39,9
548,01-04-2020,Manipur,1,0,0
549,01-04-2020,Mizoram,1,0,0
550,01-04-2020,Odisha,4,0,0
551,01-04-2020,Puducherry,3,1,0
552,01-04-2020,Punjab,42,1,3
553,01-04-2020,Rajasthan,93,3,0
554,01-04-2020,Tamil Nadu,234,6,1
555,01-04-2020,Telengana,96,1,3
556,01-04-2020,Uttarakhand,7,2,0
557,01-04-2020,Uttar Pradesh,103,14,2
558,01-04-2020,West Bengal,37,6,3
559,02-04-2020,Andhra Pradesh,86,1,1
560,02-04-2020,Andaman and Nicobar Islands,10,0,0
561,02-04-2020,Assam,5,0,0
562,02-04-2020,Bihar,24,0,1
563,02-04-2020,Chandigarh,16,0,0
564,02-04-2020,Chhattisgarh,9,2,0
565,02-04-2020,Delhi,219,8,4
566,02-04-2020,Goa,5,0,0
567,02-04-2020,Gujarat,87,8,7
568,02-04-2020,Haryana,43,21,0
569,02-04-2020,Himachal Pradesh,3,1,1
570,02-04-2020,Jammu and Kashmir,62,2,2
571,02-04-2020,Jharkhand,1,0,0
572,02-04-2020,Karnataka,110,9,3
573,02-04-2020,Kerala,265,25,2
574,02-04-2020,Ladakh,13,3,0
575,02-04-2020,Madhya Pradesh,99,0,6
576,02-04-2020,Maharashtra,335,42,13
577,02-04-2020,Manipur,1,0,0
578,02-04-2020,Mizoram,1,0,0
579,02-04-2020,Odisha,4,0,0
580,02-04-2020,Puducherry,3,1,0
581,02-04-2020,Punjab,46,1,4
582,02-04-2020,Rajasthan,108,3,0
583,02-04-2020,Tamil Nadu,234,6,1
584,02-04-2020,Telengana,107,1,3
585,02-04-2020,Uttarakhand,7,2,0
586,02-04-2020,Uttar Pradesh,113,14,2
587,02-04-2020,West Bengal,53,6,3
588,03-04-2020,Andhra Pradesh,132,1,1
589,03-04-2020,Andaman and Nicobar Islands,10,0,0
590,03-04-2020,Arunachal Pradesh,1,0,0
591,03-04-2020,Assam,16,0,0
592,03-04-2020,Bihar,29,0,1
593,03-04-2020,Chandigarh,18,0,0
594,03-04-2020,Chhattisgarh,9,3,0
595,03-04-2020,Delhi,219,8,4
596,03-04-2020,Goa,6,0,0
597,03-04-2020,Gujarat,95,10,8
598,03-04-2020,Haryana,49,24,0
599,03-04-2020,Himachal Pradesh,6,1,1
600,03-04-2020,Jammu and Kashmir,75,3,2
601,03-04-2020,Jharkhand,2,0,0
602,03-04-2020,Karnataka,124,10,3
603,03-04-2020,Kerala,286,27,2
604,03-04-2020,Ladakh,14,3,0
605,03-04-2020,Madhya Pradesh,104,0,6
606,03-04-2020,Maharashtra,335,42,16
607,03-04-2020,Manipur,2,0,0
608,03-04-2020,Mizoram,1,0,0
609,03-04-2020,Odisha,5,0,0
610,03-04-2020,Puducherry,5,1,0
611,03-04-2020,Punjab,48,1,5
